Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PRECINCT 205.0,0,0,0,0,113,7.89
President and Vice President,Donald J. Trump,REP,PRECINCT 206.0,0,0,0,0,186,9.27
President and Vice President,Donald J. Trump,REP,PRECINCT 207.0,0,193,310,69,572,20.83
President and Vice President,Donald J. Trump,REP,PRECINCT 208.0,0,269,414,96,779,31.49
President and Vice President,Donald J. Trump,REP,PRECINCT 209.0,0,161,314,73,548,17.89
President and Vice President,Donald J. Trump,REP,PRECINCT 210.0,0,56,151,41,248,17.84
President and Vice President,Donald J. Trump,REP,PRECINCT 212.0,0,80,114,40,234,12.69
President and Vice President,Donald J. Trump,REP,PRECINCT 213.0,0,72,93,38,203,9.42
President and Vice President,Donald J. Trump,REP,PRECINCT 214.0,0,46,83,31,160,7.49
President and Vice President,Donald J. Trump,REP,PRECINCT 215.0,0,78,99,34,211,10.34
President and Vice President,Donald J. Trump,REP,PRECINCT 216.0,0,62,92,36,190,8.26
President and Vice President,Donald J. Trump,REP,PRECINCT 217.0,0,45,89,34,168,9.39
President and Vice President,Donald J. Trump,REP,PRECINCT 218.0,0,0,0,0,110,9.70
President and Vice President,Donald J. Trump,REP,PRECINCT 219.0,0,0,0,0,123,14.19
President and Vice President,Donald J. Trump,REP,PRECINCT 221.0,0,42,79,38,159,8.85
President and Vice President,Donald J. Trump,REP,PRECINCT 222.0,0,0,0,0,119,6.20
President and Vice President,Donald J. Trump,REP,PRECINCT 223.0,0,0,0,0,198,11.63
President and Vice President,Donald J. Trump,REP,PRECINCT 224.0,0,87,159,53,299,20.05
President and Vice President,Donald J. Trump,REP,PRECINCT 225.0,0,89,153,65,307,15.68
President and Vice President,Donald J. Trump,REP,PRECINCT 226.0,0,57,88,37,182,13.12
President and Vice President,Donald J. Trump,REP,PRECINCT 227.0,0,104,201,73,378,21.24
President and Vice President,Donald J. Trump,REP,PRECINCT 228.0,0,92,111,52,255,12.66
President and Vice President,Donald J. Trump,REP,PRECINCT 229.0,0,171,244,85,500,28.85
President and Vice President,Donald J. Trump,REP,PRECINCT 230.0,0,293,375,147,815,41.58
